-41412,254144,-41394,254164,False
-38780,254072,-38772,254080,True
-38080,254172,-38068,254184,False
-34164,254052,-34144,254072,True
-31660,254050,-31650,254060,False
-38700,253924,-38688,253936,True
-37970,253960,-37960,253970,False
-36908,253766,-36898,253776,True
-30370,253714,-30356,253726,False
-37638,253562,-37626,253572,False
-42960,253558,-42952,253566,True
-42464,253344,-42446,253358,False
-39148,253400,-39132,253414,True
-36680,253442,-36670,253452,True
-33648,253330,-33638,253340,False
-30700,253172,-30688,253186,True
-31676,253090,-31666,253098,False
-39146,253000,-39122,253020,False
-36914,252904,-36906,252910,False
-38780,252762,-38762,252778,True
-30836,252710,-30826,252720,False
-30598,252824,-30584,252836,True
-41820,252558,-41796,252586,True
-39844,252598,-39828,252614,True
-39790,252628,-39774,252640,True
-39492,252638,-39478,252650,False
-30480,252590,-30468,252602,True
-39946,252616,-39930,252632,True
-41890,252270,-41874,252286,False
-39354,252382,-39328,252400,True
-38972,252258,-38964,252268,True
-41780,252044,-41764,252058,False
-32054,251764,-32040,251778,True
-41742,251734,-41730,251746,-1
-40030,251482,-40012,251494,True
-37104,251342,-37094,251352,True
-43338,251092,-43320,251104,False
-42502,250874,-42488,250884,True
-41932,250866,-41916,250882,True
-38734,250860,-38722,250874,True
-37860,250968,-37842,250984,True
-30096,250638,-30080,250652,True
-34696,250540,-34684,250554,True
-30086,250528,-30062,250550,True
-32510,250964,-32494,250976,True
-38520,250110,-38512,250118,False
-33258,249900,-33248,249910,True
-43282,249856,-43272,249868,True
-43302,249762,-43288,249776,True
-36278,249592,-36254,249616,False
-43392,249462,-43376,249474,True
-33516,249464,-33506,249472,True
-35584,249406,-35574,249414,True
-35622,249374,-35606,249386,False
-35602,249382,-35584,249400,False
-30814,249330,-30806,249338,True
-30216,249278,-30206,249288,True
-35490,249114,-35480,249122,True
-35276,249144,-35258,249162,False
-30042,249056,-30014,249078,True
-30240,248898,-30232,248908,False
-30158,248858,-30150,248866,False
-38274,248750,-38264,248762,True
-31602,248754,-31590,248766,False
-43130,248384,-43118,248396,True
-30990,248454,-30982,248462,True
-43368,248110,-43362,248118,False
-43090,248086,-43080,248094,True
-36534,247788,-36516,247802,False
-43168,247692,-43146,247712,False
-35428,247626,-35420,247634,False
-35584,247430,-35570,247440,False
-30538,247416,-30526,247432,True
-40448,247304,-40440,247314,False
-31094,247372,-31084,247382,False
-30188,247330,-30176,247344,True
-40720,247220,-40706,247230,False
-32350,247238,-32332,247256,False
-30180,247172,-30166,247184,True
-36868,247050,-36848,247066,True
-34778,247126,-34766,247136,True
-31118,247030,-31104,247042,False
-32184,246978,-32176,246986,True
-30280,246968,-30252,246994,False
-42470,246568,-42462,246576,False
-30602,246570,-30592,246578,False
-30312,246448,-30302,246456,False
-42430,246302,-42420,246312,-1
-42422,246254,-42408,246266,True
-40878,246384,-40868,246394,False
-42316,246200,-42308,246206,True
-33738,245828,-33730,245836,True
-43356,245734,-43342,245748,True
-37232,245664,-37222,245672,True
-40474,245536,-40452,245552,True
-37314,245540,-37302,245552,True
-36630,246074,-36616,246086,True
-36704,245574,-36694,245586,False
-34926,245494,-34914,245504,True
-31584,245490,-31566,245506,False
-33784,245462,-33776,245468,False
-31396,245370,-31386,245380,False
-36944,245316,-36932,245326,False
-34944,245226,-34934,245234,True
-31802,245266,-31780,245288,True
-31858,245468,-31848,245478,False
-31696,245302,-31682,245314,False
-39140,245178,-39130,245186,False
-39174,245038,-39162,245050,False
-39084,245090,-39076,245098,True
-37710,245056,-37694,245070,False
-30326,245044,-30306,245058,True
-37988,244866,-37980,244872,False
-33754,244950,-33744,244958,True
-38406,244758,-38396,244770,False
-30146,244810,-30136,244818,True
-30414,244662,-30404,244672,True
-30812,244534,-30802,244546,False
-31400,244154,-31384,244166,True
-43946,243936,-43924,243954,True
-43872,243972,-43862,243986,False
-33920,244030,-33908,244042,-1
-32092,243958,-32074,243978,False
-43160,243896,-43148,243906,False
-31452,243842,-31440,243854,True
-32128,243690,-32114,243702,True
-31988,243748,-31978,243758,-1
-42478,243612,-42462,243626,True
-32598,243656,-32582,243666,False
-32072,243614,-32058,243624,True
-32414,243534,-32406,243544,True
-32178,243436,-32166,243446,True
-43666,243930,-43658,243936,False
-39684,243294,-39668,243314,True
-32456,243204,-32438,243220,False
-42206,243126,-42178,243150,False
-39866,243018,-39854,243030,False
-35938,242942,-35928,242952,False
-33284,243030,-33274,243040,False
-32836,242636,-32824,242650,False
-32422,243160,-32410,243168,True
-32574,242514,-32564,242522,False
-30448,243028,-30432,243038,True
-32488,242390,-32478,242400,False
-41834,242122,-41818,242134,False
-43992,241988,-43978,242002,-1
-40630,241908,-40612,241920,False
-32682,241778,-32660,241804,True
-32716,241738,-32698,241754,True
-32846,241518,-32836,241526,False
-35664,241152,-35650,241166,False
